id_solotodo,categoria_solotodo,marca,modelo,nombre_completo,tipo,combustible,consumo_bruto,rendimiento_n,cop_calor,poder_calorifico_bruto,rango_calefaccion,precio_max_c_iva_clp,tienda_precio_max,url_tienda_precio_max,precio_oferta_tienda_max_clp,precio_min_c_iva_clp,tienda_precio_min,num_tiendas_activas,tiendas_detalle,costo_instalacion_c_iva,mantencion_c_iva,otros,url_solotodo
277580,Aire Acondicionado Split,Samsung,AR70F18C1DW/ZS,Samsung AR70F18C1DW/ZS,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 18000 BTU/h,-,3.24 (Clase B),18000 BTU/h / 5710 W (Calefacción),No especificado,673990,Falabella Marketplace (Emma House),https://www.falabella.com/falabella-cl/product/148212858/aire-acondicionado-split-samsung-wind-free-inverter-18000btu/151278603,673990,599990,Portal del Aire,5,"Easy: $629,990 | Enel X: $639,990 | Falabella Marketplace (Emma House): $673,990 | Portal del Aire: $599,990 | Moreto: $643,671",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 539349 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/277580
376331,Aire Acondicionado Split,LG,VM122C31,LG VM122C31,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 12000 BTU/h,-,3.00 (Inverter Modo Calor),12000 BTU/h,No especificado,673422,Max (GTQ conv),https://www.max.com.gt/aire-acondicionado-lg-12-000-btu-inverter-blanco,673422,326990,LG Store (USD conv),12,"Panafoto (USD conv): $336,334 | LG Store (USD conv): $326,990 | Rodelag (USD conv): $336,362 | Photura (USD conv): $336,334 | Raenco (USD conv): $336,334 (+7 más)",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/376331
210479,Aire Acondicionado Split,Samsung,AR12CSAAAWK/ZS,Samsung AR12CSAAAWK/ZS,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 12000 BTU/h,-,3.32,12000 BTU/h,No especificado,659990,Falabella Marketplace (MIAIRECHILE),https://www.falabella.com/falabella-cl/product/131748663/aire-acondicionado-samsung-12-000-btu-wind-free-wifi/131748664,659990,659990,Falabella Marketplace (MIAIRECHILE),1,"Falabella Marketplace (MIAIRECHILE): $659,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 437308 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/210479
277743,Aire Acondicionado Split,Samsung,AR50F09C1FH/ZS,Samsung AR50F09C1FH/ZS,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 9000 BTU/h,-,3.00 (Inverter Modo Calor),9000 BTU/h,No especificado,653990,Falabella Marketplace (Emma House),https://www.falabella.com/falabella-cl/product/151215407/aire-acondicionado-samsung-ar50f09c1fh-zs-9-000-btu/156960939,653990,653990,Falabella Marketplace (Emma House),1,"Falabella Marketplace (Emma House): $653,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 539358 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/277743
251211,Aire Acondicionado Split,Midea,MSCB1BU-09HRFN8-BL / MOX104-09HFN8-BL,Midea MSCB1BU-09HRFN8-BL / MOX104-09HFN8-BL,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,23.85 kWh/mes (Norma SEC),-,3.70 (Clase A),9000 BTU/h / 3000 W (Calefacción),No especificado,649990,Falabella Marketplace (Midea),https://www.falabella.com/falabella-cl/product/147121269/Aire-acondicionado-Split-Electrico-BREEZELESS09K-9000-Btu-Midea/147121270,649990,324990,Enel X,9,"Hites: $639,990 | Easy: $409,990 | Sodimac: $569,990 | Enel X: $324,990 | ABC: $629,990 (+4 más)",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 503382 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/251211
292904,Aire Acondicionado Split,Hisense,AS-18UW4RMSKA-I / AS-18UW4RMSKA-O,Hisense AS-18UW4RMSKA-I / AS-18UW4RMSKA-O,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 18000 BTU/h,-,3.21 (Clase A Inverter),18000 BTU/h / 5400 W (Calefacción),No especificado,649990,Falabella Marketplace (MIAIRECHILE),https://www.falabella.com/falabella-cl/product/142158950/Aire-Acondicionado-Hisense-18000-BTU-Hi-Vida-Inverter-Expert/142158951,649990,431990,AirHome,7,"Enel X: $469,990 | Falabella Marketplace (MIAIRECHILE): $649,990 | AirHome: $431,990 | Portal del Aire: $449,990 | Moreto: $489,990 (+2 más)",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 504340 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/292904
277742,Aire Acondicionado Split,Samsung,AR50F18C1FH/ZS,Samsung AR50F18C1FH/ZS,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 18000 BTU/h,-,3.00 (Inverter Modo Calor),18000 BTU/h,No especificado,642990,AirHome,https://airhome.cl/producto/split-wind-free-inverter-----samsung-18-000-btu,642990,642990,AirHome,1,"AirHome: $642,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 539349 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/277742
273113,Aire Acondicionado Split,Aiwa,AW-24INVG,Aiwa AW-24INVG,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 24000 BTU/h,-,3.00 (Inverter Modo Calor),24000 BTU/h,No especificado,629990,ABC,https://www.abc.cl/aire-acondicionado-aiwa-split-inverter-24000-btu-aw-24invg/28803389.html,629990,519990,Lider Marketplace (AIWA CHILE),4,"ABC: $629,990 | Ripley Marketplace (Aiwa Chile): $569,990 | Lider Marketplace (AIWA CHILE): $519,990 | Mercado Libre (IMPORTADORAVICTORIACAPITALLT): $609,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 525431 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/273113
147844,Aire Acondicionado Split,Samsung,AR12BSEAMWK,Samsung AR12BSEAMWK,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 12000 BTU/h,-,3.32 (Clase No ingresado),12000 BTU/h,No especificado,623990,Falabella Marketplace (Emma House),https://www.falabella.com/falabella-cl/product/142616888/Aire-Acondicionado-Samsung-Inverter-Wi-Fi-F-C-12000-BTU/147202891,623990,623990,Falabella Marketplace (Emma House),1,"Falabella Marketplace (Emma House): $623,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 409017 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/147844
399329,Aire Acondicionado Split,DAIKIN,FTXS24EL215 / RXS24EL215,DAIKIN FTXS24EL215 / RXS24EL215,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,60.27 kWh/mes (Norma SEC),-,3.21 (Clase A),24000 BTU/h / 7034 W (Calefacción),No especificado,619990,Moreto,https://www.moretoclima.cl/inicio/aire-acondicionado-daikin-inverter-24000-btu-wifi,619990,619990,Moreto,1,"Moreto: $619,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 568002 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/399329
